FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,RateType,LendRateAvg,CbCoNm,ContactDepartment,HompUrl,CalTel,JoinWay,CrdtGrad900,CrdtGrad801,CrdtGrad701,CrdtGrad601,CrdtGrad501,CrdtGrad401,CrdtGrad301,CrdtGrad300,BaseRateCrdtGrad900,BaseRateCrdtGrad801,AddRateCrdtGrad900,AddRateCrdtGrad801,AdjustedRateCrdtGrad900,AdjustedRateCrdtGrad801,직업,학습,건강,관계,주거,사회참여,여가,재무
10596,개인신용대출,흥국생명보험주식회사,일반신용대출,대출금리,5.04%,"NICE, KCB","개인금융팀, 02-2002-7369",http://www.heungkuklife.co.kr,1588-2288,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",4.80%,5.02%,6.11%,-,-,-,-,-,2.45,2.45,2.35,2.57,,,0,0,0,0,0,0,0,100
10595,개인신용대출,삼성생명보험주식회사,일반신용대출,대출금리,5.22%,NICE,"융자기획파트, 02-2259-7115",http://www.samsunglife.com,1588-3114,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",4.92%,6.12%,-,-,-,-,-,-,3.27,3.51,1.65,2.61,,,0,0,0,0,0,0,0,100
10597,개인신용대출,교보생명보험주식회사,일반신용대출,대출금리,5.51%,"NICE, KCB","소매여신마케팅팀, 02-721-2455",http://www.kyobo.co.kr,15881001,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",5.30%,5.81%,6.61%,9.59%,-,-,-,-,2.2,2.2,3.1,3.61,,,0,0,0,0,0,0,0,100
10227,WR0002F,비씨카드㈜,장기카드대출,대출금리,6.71%,NICE,"영업기획팀, 02-520-4762",https://www.bccard.com/app/card/MainActn.do,15884000,"인터넷,스마트폰",-,6.71%,-,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10593,개인신용대출,한화생명보험주식회사,일반신용대출,대출금리,7.40%,"NICE,KCB","융자사업부, 02-789-8205",http://www.hanwhalife.com,15886363,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",-,-,7.40%,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
12711,71100,엔에이치저축은행,일반신용대출,대출금리,9.48%,NICE,"기획총무부,02-3016-2314",http://www.nhsavingsbank.co.kr/,215885191,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",6.50%,8.22%,10.45%,12.00%,13.88%,-,-,-,2.41,2.41,4.09,5.81,,,0,0,0,0,0,0,0,100
10002,WR0002F,한국스탠다드차타드은행,장기카드대출,대출금리,9.64%,KCB,"수신상품부(예적금), 02-3702-3874신용여신부(신용대출), 02-3702-4763담보여신부(담보대출), 02-3702-4202카드상품부(카드론),02-3702-4613",http://www.standardchartered.co.kr,15881599,"인터넷,스마트폰,전화(텔레뱅킹)",7.35%,8.82%,11.99%,13.04%,13.11%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
14807,WR0002F,수협은행,장기카드대출,대출금리,9.77%,KCB,"개인금융부(수신), 02-2240-0391개인금융부(여신), 02-2240-0273",http://www.suhyup-bank.com,15881515,"인터넷,스마트폰,전화(텔레뱅킹)",8.63%,8.97%,10.82%,11.51%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13173,개인신용대출,농협생명보험주식회사,일반신용대출,,-,"NICE, KCB",,,,"영업점,인터넷,스마트폰,모집인",-,-,-,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10608,개인신용대출,미래에셋생명보험주식회사,일반신용대출,,-,"NICE,KCB","융자팀, 02-2287-4062",,,"영업점,인터넷,스마트폰",-,-,-,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10633,300019,삼성화재해상보험주식회사,일반신용대출,,-,NICE,"융자기획파트,02-758-7231대출상담,1588-7444",,,인터넷,-,-,-,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10599,개인신용대출,신한라이프생명보험주식회사,일반신용대출,,-,NICE,"개인여신팀, 1899-6669",,,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",-,-,-,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
12621,WR0001F,폭스바겐파이낸셜서비스코리아㈜,일반신용대출,대출금리,10.09%,NICE,"마케팅, 02-513-3176",https://www.vwfs.co.kr/,15888420,스마트폰,7.92%,8.52%,12.90%,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10228,WR0001F,삼성카드㈜,일반신용대출,대출금리,10.14%,KCB,"기획조사팀, 02-2172-7192",http://www.samsungcard.com,15888700,"인터넷,스마트폰,전화(텔레뱅킹)",6.70%,6.70%,13.03%,19.40%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
11575,WR0001F,알씨아이파이낸셜서비스코리아㈜,일반신용대출,대출금리,10.29%,NICE,"마케팅, 02-2021-5507",http://www.renaultcapital.co.kr/,15886750,전화(텔레뱅킹),6.19%,9.81%,14.35%,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10741,WR0001F,㈜아이비케이캐피탈,일반신용대출,대출금리,10.40%,KCB,"기획팀, 02-531-9360",https://www.ibkc.co.kr,15771885,인터넷,-,-,10.40%,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10473,GP760130,상상인저축은행,일반신용대출,대출금리,10.42%,KCB,"경영기획팀, 0316988142",http://www.sangsanginsb.com,15771771,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",9.17%,10.81%,9.82%,12.80%,15.99%,-,-,-,1.96,1.96,7.21,8.85,,,0,0,0,0,0,0,0,100
13220,WR0001F,롯데오토리스㈜,일반신용대출,대출금리,10.65%,KCB,"경영기획팀, 02-3404-9746",https://www.lotte-autolease.net,18998700,영업점,10.19%,10.33%,11.07%,10.90%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10017,WR0002F,부산은행,장기카드대출,대출금리,11.40%,NICE,"마케팅추진부, 051-620-3339여신기획부, 051-620-3423",http://www.busanbank.co.kr,15886200,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",10.18%,10.90%,14.95%,-,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10229,WR0002F,신한카드㈜,장기카드대출,대출금리,11.46%,KCB,"ESG팀, 02-6950-7538",http://www.shinhancard.com,15447000,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",6.88%,8.72%,13.08%,16.63%,18.86%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
12889,760116,IBK저축은행,일반신용대출,대출금리,11.67%,NICE,"영업기획부, 0517914393",http://www.ibksb.co.kr,15227900,"영업점,인터넷,스마트폰,모집인",6.16%,8.76%,13.22%,14.59%,15.22%,-,-,-,1.73,1.73,4.43,7.03,,,0,0,0,0,0,0,0,100
10016,WR0002F,대구은행,장기카드대출,대출금리,11.79%,"NICE,KCB","마케팅추진부, 053-740-2162              개연여신기획부, 053-740-2230",http://www.dgb.co.kr/dgb_ebz_main.jsp,15885050,"인터넷,스마트폰,전화(텔레뱅킹)",9.00%,9.70%,11.03%,13.76%,15.62%,17.26%,-,-,,,,,,,0,0,0,0,0,0,0,100
10006,WR0002F,한국씨티은행,장기카드대출,대출금리,12.23%,KCB,수신상품부 02-2004-1274 씨티비즈/모기지부 02-2004-2249 UPL부 02-2004-2467,https://www.citibank.co.kr/,15887000,"인터넷,스마트폰",8.08%,11.08%,11.87%,13.83%,16.16%,17.90%,-,13.90%,,,,,,,0,0,0,0,0,0,0,100
10268,WR0001F,하나캐피탈㈜,일반신용대출,대출금리,12.26%,NICE,"E-BIZ사업팀, 02-2037-1977",http://www.hanacapital.co.kr,15997942,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",10.28%,10.99%,12.81%,13.11%,13.72%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
11797,WR0001F,엔에이치농협캐피탈㈜,일반신용대출,대출금리,12.31%,KCB,"리테일금융팀, 02-3709-3546",http://www.nhcapital.co.kr/consumer/fi/csfipl01c.nh?main=2,16443700,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",8.94%,10.70%,11.97%,13.48%,15.03%,14.87%,-,-,,,,,,,0,0,0,0,0,0,0,100
10359,760075,키움예스저축은행,일반신용대출,대출금리,12.42%,NICE,"전산회계팀, 0261811549",http://www.kiwoomyesbank.com,25582501,"인터넷,스마트폰,모집인",10.18%,10.87%,12.57%,14.73%,18.24%,-,-,-,1.98,1.98,8.2,8.89,,,0,0,0,0,0,0,0,100
10019,WR0002F,광주은행,장기카드대출,대출금리,12.50%,KCB,영업추진부 수신지원팀 062-239-5206          여신지원팀 062-239-6509카드사업부 062-239-6107,http://www.kjbank.com,15883388,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",8.61%,10.99%,13.19%,15.50%,-,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10229,WR0001F,신한카드㈜,일반신용대출,대출금리,12.56%,KCB,"ESG팀, 02-6950-7538",http://www.shinhancard.com,15447000,"인터넷,스마트폰,전화(텔레뱅킹)",7.12%,8.97%,12.07%,14.76%,16.37%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10456,760000,키움저축은행,일반신용대출,대출금리,12.59%,NICE,경영지원팀 0326505206,http://www.kiwoombank.com,16700077,"인터넷,스마트폰,모집인",9.99%,10.94%,12.47%,14.48%,16.79%,19.90%,-,-,2,2,7.99,8.94,,,0,0,0,0,0,0,0,100
13640,WR0002F,하나카드㈜,장기카드대출,대출금리,12.60%,KCB,"커뮤니케이션실, 02-6399-3122",https://www.hanacard.co.kr/,18001111,"인터넷,스마트폰,전화(텔레뱅킹),기타",11.57%,12.33%,13.01%,13.65%,14.08%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13127,75010,KB저축은행,일반신용대출,대출금리,12.67%,"NICE,KCB","영업추진부, 0221468227",http://www.kbsavings.com/,18990900,"인터넷,스마트폰,모집인,기타",8.62%,10.27%,11.80%,13.36%,15.27%,14.92%,-,-,2.02,2.02,6.6,8.25,,,0,0,0,0,0,0,0,100
12303,WR0001F,㈜디지비캐피탈,일반신용대출,대출금리,12.82%,KCB,"재무관리부,02-2193-7773",http://www.dgbfncapital.co.kr/,15660050,"인터넷,스마트폰,모집인,기타",8.71%,11.05%,13.19%,15.17%,16.54%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13361,WR0002F,㈜우리카드,장기카드대출,대출금리,12.85%,KCB,"카드금융부, 02-6968-3161 신금융영업부,02-6968-3141",https://pc.wooricard.com/dcpc/main.do,15779000,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",8.93%,11.95%,14.32%,16.88%,19.57%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
10228,WR0002F,삼성카드㈜,장기카드대출,대출금리,12.93%,KCB,"기획조사팀, 02-2172-7192",http://www.samsungcard.com,15888700,"인터넷,스마트폰,전화(텔레뱅킹)",9.25%,10.88%,13.91%,16.88%,18.52%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
13175,WR0002F,농협은행주식회사,장기카드대출,대출금리,12.99%,KCB,"마케팅전략부, 02-2080-8787(여신), 8770(수신)",https://banking.nonghyup.com,16613000,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",11.02%,11.29%,13.70%,16.59%,17.39%,-,-,-,,,,,,,0,0,0,0,0,0,0,100
