FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,LoanLmt,RpayTypeNm,LendRateTypeNm,LendRateMin,LendRateMax,LendRateAvg,MonRepayAvg,ContactDepartment,HompUrl,CalTel,JoinWay,LoanInciExpn,ErlyRpayFee,DlyRate,직업,학습,건강,관계,주거,사회참여,여가,재무
10024,30002152,경남은행,전세자금대출(주택금융공사),최대2.22억원,만기일시상환,변동금리,2.32%,3.06%,2.45%,"4,370,834","리테일금융부(대출 문의),055-290-8743마케팅추진부,055-290-8317",https://www.knbank.co.kr/ib20/mnu/FPMDPT020000000,16008585,"영업점,스마트폰,모집인",인지세:해당세액의50%(대출금5천만원미만시없음,없음,대출금리+3.0%,0,0,0,0,50,0,0,50
14674,1021000700000000000,주식회사 케이뱅크,전세대출,222백만원,만기일시상환,변동금리,2.54%,2.54%,2.63%,"4,385,834","수신팀, 02-3210-7312",https://ib.kbanknow.com/ib20/mnu/FPMDPT010000,15221000,스마트폰,-인지세:해당세액의50%(대출금액5천만원미만시없음)-주택금융신용보증료,없음,적용금리+3%최고적용15%,0,0,0,0,50,0,0,50
15130,030040004,주식회사 카카오뱅크,전월세보증금 대출,최대222백만원,만기일시상환,변동금리,2.65%,2.65%,2.36%,"4,363,334",수신팀 02-6288-6151여신팀 02-6288-6080,https://www.kakaobank.com/,15993333,스마트폰,-인지세:해당세액의50%(대출금액5천만원미만시없음)-주택금융신용보증료,없음,대출금리+3%(연체대출최고금리:15%),0,0,0,0,50,0,0,50
13909,0300123202302,하나은행,주택신보위탁발행보증서담보대출,222백만원,원금분할상환,변동금리,2.99%,4.39%,3.17%,"4,304,254",가계수신(예금) 02-2002-1184(Daily Banking본부)가계여신(대출) 02-2002-1249(Borrowing본부),http://www.hanabank.com,15991111,"영업점,모집인",1.인지세:50%2.보증료,중도상환금액×0.7%×(대출잔여일수÷대출기간)※대출기간:대출약정일로최장3년,적용금리+3%(최고15%),0,0,0,0,50,0,0,50
13909,0300123202302,하나은행,주택신보위탁발행보증서담보대출,222백만원,원리금분할상환,변동금리,2.99%,4.39%,3.17%,"4,305,645",가계수신(예금) 02-2002-1184(Daily Banking본부)가계여신(대출) 02-2002-1249(Borrowing본부),http://www.hanabank.com,15991111,"영업점,모집인",1.인지세:50%2.보증료,중도상환금액×0.7%×(대출잔여일수÷대출기간)※대출기간:대출약정일로최장3년,적용금리+3%(최고15%),0,0,0,0,50,0,0,50
13909,0300123202302,하나은행,주택신보위탁발행보증서담보대출,222백만원,만기일시상환,변동금리,2.99%,4.39%,3.23%,"4,435,834",가계수신(예금) 02-2002-1184(Daily Banking본부)가계여신(대출) 02-2002-1249(Borrowing본부),http://www.hanabank.com,15991111,"영업점,모집인",1.인지세:50%2.보증료,중도상환금액×0.7%×(대출잔여일수÷대출기간)※대출기간:대출약정일로최장3년,적용금리+3%(최고15%),0,0,0,0,50,0,0,50
14807,1170,수협은행,Sh전세보증대출(서울보증보험),최대5억원,원금분할상환,변동금리,3.01%,3.31%,2.99%,"4,296,441","개인금융부(수신), 02-2240-0391개인금융부(여신), 02-2240-0273",http://www.suhyup-bank.com,15881515,"영업점,모집인","1.인지세:해당세액의50%2.질권설정에대한통지비용:40,000원",중도상환금액X수수료율*X(대출잔여일수/대출기간**)*0.6%(고정금리인경우0.7%)**대출기간이3년을초과하는경우3년,대출금리+연3%(최고:연15%),0,0,0,0,50,0,0,50
14807,1170,수협은행,Sh전세보증대출(서울보증보험),최대5억원,원리금분할상환,변동금리,3.01%,3.31%,2.99%,"4,297,679","개인금융부(수신), 02-2240-0391개인금융부(여신), 02-2240-0273",http://www.suhyup-bank.com,15881515,"영업점,모집인","1.인지세:해당세액의50%2.질권설정에대한통지비용:40,000원",중도상환금액X수수료율*X(대출잔여일수/대출기간**)*0.6%(고정금리인경우0.7%)**대출기간이3년을초과하는경우3년,대출금리+연3%(최고:연15%),0,0,0,0,50,0,0,50
10001,10561,우리은행,우리전세론(주택금융보증),최대2.2억원,원리금분할상환,변동금리,3.02%,3.22%,2.92%,"4,294,583","개인고객부, 02-2002-5391부동산금융부, 02-2002-3319",https://spot.wooribank.com/pot/Dream?withyou=po,15885000,"영업점,모집인",-인지세:해당세액의50%(대출금액5천만원이하시없음)-주택신보출연료:0.16~0.20%-주택신보보증료:연0.12~연0.40%,-고정금리:주택상환금액×0.7%×(대출잔액일수÷3년)-변동금리:주택상환금액×0.6%×(대출잔액일수÷3년),-적용금리+3%(최고연체이자율:12%),0,0,0,0,50,0,0,50
10001,10561,우리은행,우리전세론(주택금융보증),최대2.2억원,만기일시상환,변동금리,3.02%,3.22%,2.90%,"4,408,334","개인고객부, 02-2002-5391부동산금융부, 02-2002-3319",https://spot.wooribank.com/pot/Dream?withyou=po,15885000,"영업점,모집인",-인지세:해당세액의50%(대출금액5천만원이하시없음)-주택신보출연료:0.16~0.20%-주택신보보증료:연0.12~연0.40%,-고정금리:주택상환금액×0.7%×(대출잔액일수÷3년)-변동금리:주택상환금액×0.6%×(대출잔액일수÷3년),-적용금리+3%(최고연체이자율:12%),0,0,0,0,50,0,0,50
