FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,LoanLmt,RpayTypeNm,LendRateTypeNm,LendRateMin,LendRateMax,LendRateAvg,MonRepayAvg,ContactDepartment,HompUrl,CalTel,JoinWay,LoanInciExpn,ErlyRpayFee,DlyRate,직업,학습,건강,관계,주거,사회참여,여가,재무
10030,1,한국산업은행,산은 주택대출(생활자금),-LTV70%등,만기일시상환,변동금리,2.38%,3.18%,-,-,"(예금)여수신기획부, 02-787-6934(대출)네트워크지원실, 02-787-5639",http://www.kdb.co.kr,0215881500,기타,"*구입자금취급중단,기존주택담보대출고객에대한추가생활자금대출만취급-인지세:해당세액의50%-국민주택채권매입비용","-중도상환금액×중도상환수수료율*×(대출잔여일수÷대출기간**)*담보대출:고정금리1.2%,변동금리0.9%/신용대출:고정금리0.8%,변동금리0.5%**대출기간이3년을초과하는경우3년",대출금리+3%최고이자율:15%,0,0,0,0,50,0,0,50
10024,30002126,경남은행,집집마다 도움대출II,LTV70%이내,원금분할상환,변동금리,2.42%,3.71%,2.75%,"948,872","리테일금융부(대출 문의),055-290-8743마케팅추진부,055-290-8317",https://www.knbank.co.kr/ib20/mnu/FPMDPT020000000,16008585,"영업점,모집인",인지세:해당세액의50%(대출금5천만원미만시없음)국민주택채권매입비:대출금*110%*1%*채권할인율주택신보출연료(주택자금용도),"중도상환대출금*0.5~1.5%*대출잔여기간(취급후1년이내1.5%,취급후2년이내1%,취급후3년이내0.5%단,취급후3년경과시면제,최초취급액의10%면제)",대출금리+3.0%,0,0,0,0,50,0,0,50
10024,30002126,경남은행,집집마다 도움대출II,LTV70%이내,원리금분할상환,변동금리,2.42%,3.71%,2.75%,"954,110","리테일금융부(대출 문의),055-290-8743마케팅추진부,055-290-8317",https://www.knbank.co.kr/ib20/mnu/FPMDPT020000000,16008585,"영업점,모집인",인지세:해당세액의50%(대출금5천만원미만시없음)국민주택채권매입비:대출금*110%*1%*채권할인율주택신보출연료(주택자금용도),"중도상환대출금*0.5~1.5%*대출잔여기간(취급후1년이내1.5%,취급후2년이내1%,취급후3년이내0.5%단,취급후3년경과시면제,최초취급액의10%면제)",대출금리+3.0%,0,0,0,0,50,0,0,50
10024,30002126,경남은행,집집마다 도움대출II,LTV70%이내,만기일시상환,변동금리,2.61%,3.91%,3.10%,"1,091,666","리테일금융부(대출 문의),055-290-8743마케팅추진부,055-290-8317",https://www.knbank.co.kr/ib20/mnu/FPMDPT020000000,16008585,"영업점,모집인",인지세:해당세액의50%(대출금5천만원미만시없음)국민주택채권매입비:대출금*110%*1%*채권할인율주택신보출연료(주택자금용도),"중도상환대출금*0.5~1.5%*대출잔여기간(취급후1년이내1.5%,취급후2년이내1%,취급후3년이내0.5%단,취급후3년경과시면제,최초취급액의10%면제)",대출금리+3.0%,0,0,0,0,50,0,0,50
10006,CT001M,한국씨티은행,씨티주택담보대출,담보인정비율(LTV)최대70%,원금분할상환,변동금리,2.68%,3.38%,2.93%,"956,434",수신상품부 02-2004-1274 씨티비즈/모기지부 02-2004-2249 UPL부 02-2004-2467,https://www.citibank.co.kr/,15887000,영업점,1.인지세:해당세액의50%2.국민주택채권매입비용:대출금액×120%×1%×채권할인율3.화재보험료(아파트외물건지에한함),중도상환금액×중도상환수수료율×(대출잔여일수÷대출기간*)*대출기간이3년을초과하는경우3년*중도상환수수료율-변동금리대출:1.3%-고정금리대출:1.5%,약정이자율에연3%를가산(최고연체이자율:14.9%),0,0,0,0,50,0,0,50
10006,CT001M,한국씨티은행,씨티주택담보대출,담보인정비율(LTV)최대70%,원리금분할상환,변동금리,2.68%,3.38%,2.93%,"962,380",수신상품부 02-2004-1274 씨티비즈/모기지부 02-2004-2249 UPL부 02-2004-2467,https://www.citibank.co.kr/,15887000,영업점,1.인지세:해당세액의50%2.국민주택채권매입비용:대출금액×120%×1%×채권할인율3.화재보험료(아파트외물건지에한함),중도상환금액×중도상환수수료율×(대출잔여일수÷대출기간*)*대출기간이3년을초과하는경우3년*중도상환수수료율-변동금리대출:1.3%-고정금리대출:1.5%,약정이자율에연3%를가산(최고연체이자율:14.9%),0,0,0,0,50,0,0,50
10020,12107084,제주은행,제주홈대출,감정가의70%이내,만기일시상환,변동금리,2.78%,3.78%,-,-,"영업추진본부, 064-720-0287",https://e-jejubank.com,15880079,영업점,인지세50%주택채권매입비용,중도상환금액×1.3%×대출잔여일수/대출기간3년경과시면제,적용금리+3%최고적용15%,0,0,0,0,50,0,0,50
10633,300006,삼성화재해상보험주식회사,삼성주택,LTV30~70%,원금분할상환,변동금리,2.83%,4.46%,3.78%,"992,146","융자기획파트,02-758-7231대출상담,1588-7444",http://www.samsungfire.com,15885114,"영업점,인터넷,모집인",인지세(50%)주택채권매입비,"1,0%,1.2%,1.4%,1.5%중도상환금액×수수료율×잔여부과일/총부과일",대출금리+3%최고17%한도,0,0,0,0,50,0,0,50
10633,300006,삼성화재해상보험주식회사,삼성주택,LTV30~70%,원리금분할상환,변동금리,2.83%,4.46%,3.78%,"1,002,029","융자기획파트,02-758-7231대출상담,1588-7444",http://www.samsungfire.com,15885114,"영업점,인터넷,모집인",인지세(50%)주택채권매입비,"1,0%,1.2%,1.4%,1.5%중도상환금액×수수료율×잔여부과일/총부과일",대출금리+3%최고17%한도,0,0,0,0,50,0,0,50
10030,1,한국산업은행,산은 주택대출(생활자금),-LTV70%등,원리금분할상환,변동금리,2.94%,3.84%,-,-,"(예금)여수신기획부, 02-787-6934(대출)네트워크지원실, 02-787-5639",http://www.kdb.co.kr,0215881500,기타,"*구입자금취급중단,기존주택담보대출고객에대한추가생활자금대출만취급-인지세:해당세액의50%-국민주택채권매입비용","-중도상환금액×중도상환수수료율*×(대출잔여일수÷대출기간**)*담보대출:고정금리1.2%,변동금리0.9%/신용대출:고정금리0.8%,변동금리0.5%**대출기간이3년을초과하는경우3년",대출금리+3%최고이자율:15%,0,0,0,0,50,0,0,50
