분류,상품명,보장금액,보장내용,1차 영역,2차 영역,지급사유,분류코드
여행자보험(국내) 상품,하나 국내여행보험,1억원,상해사망,여가,관계,국내여행중 상해사고로 사망시(질병으로 인한 사망은 제외),14
여행자보험(국내) 상품,하나 국내여행보험,1억원,상해후유장해,여가,건강,국내여행중 상해사고로 후유장해 발생시(3%~100%:가입금액X지급률),14
여행자보험(국내) 상품,하나 국내여행보험,500만원,배상책임,여가,재무,국내여행중 생긴 우연한 사고로 타인 신체의 장해 또는 재물손해에 대한 법률적인 손해배상책임을 비례보상,14
여행자보험(국내) 상품,하나 국내여행보험,3000만원,상해급여 ,여가,건강,"피보험자가 상해로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 급여 치료 또는 급여 처방조제를 받은 때 (가입금액 5천만원 통원 회당 20만원, 가입금액 3천만원 통원 회당 15만원, 가입금액 1천만원 통원 회당 10만원)",14
여행자보험(국내) 상품,하나 국내여행보험,3000만원,상해 비급여,여가,건강,"피보험자가 상해로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 비급여 치료 또는 비급여 처방조제를 받은 때 (3대 비급여 제외) (가입금액 5천만원 통원 회당 20만원, 가입금액 3천만원 통원 회당 15만원, 가입금액 1천만원 통원 회당 10만원)",14
여행자보험(국내) 상품,하나 국내여행보험,30만원,강력범죄보상금,여가,관계,"피보험자가 보험기간 중에 약관에서 정한 강력범죄에 의하여 사망하거나, 신체에 피해가 발생한 경우 보험가입금액을 강력범죄보상금으로 보험수익자에게 지급",14
여행자보험(국내) 상품,하나 국내여행보험,30만원,자동차사고 성형치료비,여가,건강,"피보험자가 보험기간 중에 자가용 자동차를 운전하던 중에 발생한 급격하고도 우연한 외래의 사고의 직접적인 결과로 인하여 외형상의 반흔이나 추상장해, 신체의 기형이나 기능장해가 발생하여 그 원상회복을 위해 사고일로부터 1년 이내에 성형외과 전문의로부터 성형수술을 받은 경우에는 1사고당 보험증권에 기재된 이 특별약관의 보험가입금액을 자동차사고성형치료비로 보험수익자에게 지급(미용을 위한 성형수술을 받은 경우에는 제외)",14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1억,상해사망 및 후유장해,여가,"관계, 건강",상해사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,질병사망 및 후유장해,여가,"관계, 건강",질병사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,상해의료비(급여),여가,건강,피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,상해의료비(비급여),여가,건강,피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 비급여 치료를 받거나 비급여 처방조제를 받은 경우 연간 가입금액 한도로 보상(3대 비급여 제외),14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,질병의료비(급여),여가,건강,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우 연간 가입금액 한도로 보상,14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,질병의료비(비급여),여가,건강,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원하여 비급여 치료를 받거나 비급여 처방조제를 받은 경우 연간 가입금액 한도로 보상(3대 비급여 제외),14
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,1000만원,배상책임,여가,재무,제3자에 대한 배상책임 발생 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1억원,상해사망 및 후유장해,여가,건강,피보험자가 국내여행 중 발생한 급격하고도 우연한 외래의 사고로 신체의 상해를 입고 그 직접결과로써 사망하거나 약관상 장해분류표에서 정한 장해 지급률에 해당하는 장해상태가 되었을 때 보상,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1000만원,질병사망 및 80%  이상 고도후유장해,여가,건강,피보험자가 국내여행 중 질병으로 사망하거나 80% 이상 후유장해 발생 시 지급,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1000만원,상해급여의료비,여가,건강,피보험자가 상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우 급여의료비를 보험가입금액의 한도 내에서 다음과 같이 보상. [입원] 요양급여 또는 의료급여 중 본인부담금의 80% [통원] 1회당(외래 및 처방조제 합산) 요양급여 또는 의료급여 중 본인부담금에서 통원항목별 공제금액(약관참조)을 뺀 금액.,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1000만원,상해비급여의료비,여가,건강,피보험자가 상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우 비급여의료비(3대비급여는 제외)를 보험가입금액 한도 내에서 보상. [입원] 비급여의료비(비급여병실료 제외)의 70% [상급병실료 차액] 비급여병실료의 50%. 단 1일 평균금액 10만원 한도 [통원] 1회당(외래 및 처방조제 합산) 비급여 의료비(비급여병실료 제외)에서 통원항목별 공제금액(약관 참조)을 뺀금액. 통원 100회 한도.,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1000만원,질병급여의료비,여가,건강,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우 급여의료비를 보험가입금액의 한도 내에서 다음과 같이 보상. [입원] 요양급여 또는 의료급여 중 본인부담금의 80% [통원] 1회당(외래 및 처방조제 합산) 요양급여 또는 의료급여 중 본인부담금에서 통원항목별 공제금액(약관참조)을 뺀 금액.,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,1000만원,질병비급여의료비,여가,건강,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우 비급여의료비(3대비급여는 제외)를 보험가입금액 한도 내에서 보상. [입원] 비급여의료비(비급여병실료 제외)의 70% [상급병실료 차액] 비급여병실료의 50%. 단 1일 평균금액 10만원 한도 [통원] 1회당(외래 및 처방조제 합산) 비급여 의료비(비급여병실료 제외)에서 통원항목별 공제금액(약관 참조)을 뺀금액. 통원 100회 한도.,14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,350만원,3대비급여(도수치료·체외충격파치료·증식치료)의료비,여가,건강,피보험자가 국내여행 중 상해 또는 질병의 치료목적으로 병원에 입원 또는 통원하여 치료를 받은 경우 본인이 실제로 부담한 비급여 의료비 (보상대상의료비의 2만원과 30% 중 큰금액 공제),14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,250만원,3대비급여(주사료)의료비,여가,건강,피보험자가 국내여행 중 상해 또는 지렵의 치료 목적으로 병원에 입원 또는 통원하여 주사치료를 받은 경우 본인이 실제로 부담한 경우 보상(보상대상의료비의 2만원과 30% 중 큰금액 공제),14
여행자보험(국내) 상품,프로미 다이렉트 국내여행보험,300만원,3대비급여(자기공명진단(MRI/MRA))의료비,여가,건강,피보험자가 국내여행 중 상해 또는 질병의 치료 목적으로 병원에 입원 또는 통원하여 자기공명영상진단을 받아 본인이 실제로 부담한 비급여 의료비를 보상(보상대상의료비의 2만원과 30% 중 큰금액을 공제),14
여행자보험(국내) 상품,국내여행자보험,1억,상해사망 및 후유장해,여가,"관계, 건강",상해사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,국내여행자보험,1000만원,질병사망 및 후유장해,여가,"관계, 건강",질병사망 및 후유장해(80%이상) 시 가입금액 한도내 지급,14
여행자보험(국내) 상품,국내여행자보험,입원1000만원 통원10만원 입통원합산 1000만원,상해급여 의료비,여가,건강,상해사고로 국내의료기관에 입원 또는 통원(외래 및 처방조제 합산) 하여 치료 받은 경우 급여 의료비 지급,14
여행자보험(국내) 상품,국내여행자보험,입원1000만원 통원10만원 입통원합산 1000만원,질병급여 의료비,여가,건강,질병으로 국내의료기관에 입원 또는 통원(외래 및 처방조제 합산) 하여 치료 받은 경우 급여 의료비 지급,14
