,insur_type,A1100,A1101,A1199,A1200,A1299,A1300,A1301,A1399,A1400,A1401,A1403,A1404,A1499,A3100,A3101,A3103,A3199,A3300,A3301,A3303,A3399,A3400,A3401,A3403,A3404,A3412,A3413,A3415,A3416,A3499,A4101,A4102,A4103,A4104,A4105,A4109,A4110,A4199,A4200,A4201,A4209,A4210,A4299,A4301,A4302,A4303,A4304,A4399,A4501,A4502,A4503,A4504,A5100,A5101,A5104,A5107,A5109,A5199,A5200,A5299,A5300,A5301,A5302,A5309,A5310,A5399,A5508,A5999,A6100,A6101,A6103,A6105,A6107,A6109,A6112,A6113,A6114,A6115,A6116,A6117,A6118,A6119,A6120,A6150,A6200,A6201,A6300,A6301,A6302,A6303,A6350,A6400,A6510,A6550,A6999,A7100,A7199,A7200,A7300,A7399,A7500,A7999,A8000,A9001,A9021,A9041,A9100,A9101,A9400,A9401,A9402,A9403,A9404,A9405,A9406,A9407,A9408,A9499,A9500,A9509,A9599,A9600,A9601,A9602,A9603,A9604,A9605,A9606,A9607,A9608,A9609,A9610,A9611,A9612,A9613,A9614,A9615,A9616,A9617,A9619,A9999,D0033,D9003,E0003,E0010,E0013,E1001
0,1,27879.0,722.0,1408.0,1155.0,678.0,28795.0,713.0,1226.0,2411.0,1467.0,779.0,721.0,1029.0,1015.0,4163.0,192.0,74.0,6815.0,5272.0,936.0,15.0,162.0,145.0,,104.0,29.0,25.0,,,53.0,449.0,8801.0,2646.0,10581.0,457.0,1696.0,27.0,5005.0,12074.0,300.0,1183.0,4631.0,1272.0,6528.0,343.0,10.0,3134.0,,,362.0,21.0,,2970.0,127.0,1623.0,477.0,6441.0,6899.0,3778.0,86.0,3878.0,197.0,158.0,6458.0,124.0,376.0,38.0,3748.0,9306.0,164.0,,444.0,169.0,188.0,336.0,,35.0,,,162.0,,90.0,,6516.0,7568.0,146.0,9255.0,164.0,354.0,,530.0,,56.0,,1058.0,110.0,1532.0,2884.0,2315.0,616.0,,99.0,417.0,,,,569.0,495.0,,,,,,34.0,,,,49.0,45.0,48.0,29.0,2.0,73.0,,,,,,,,,,,,,,,,1419.0,43.0,2012.0,,,,,,
1,2,4491.0,591.0,45.0,172.0,42.0,4528.0,595.0,135.0,1087.0,349.0,203.0,34.0,180.0,129.0,795.0,87.0,12.0,1158.0,1229.0,290.0,337.0,580.0,367.0,91.0,45.0,,2.0,,,50.0,238.0,1503.0,496.0,1783.0,242.0,303.0,53.0,488.0,1712.0,18.0,319.0,628.0,20.0,1181.0,464.0,29.0,69.0,,35.0,37.0,48.0,,332.0,54.0,118.0,118.0,1038.0,459.0,491.0,15.0,346.0,667.0,401.0,968.0,50.0,64.0,180.0,610.0,1276.0,20.0,,24.0,76.0,76.0,103.0,,20.0,,,1.0,,,,657.0,711.0,66.0,1291.0,16.0,100.0,,46.0,77.0,226.0,66.0,329.0,34.0,155.0,176.0,219.0,18.0,1.0,88.0,39.0,,,,137.0,7.0,78.0,58.0,,,,,,,,252.0,,16.0,,85.0,116.0,,,86.0,15.0,59.0,91.0,,84.0,,,1.0,,,,,98.0,11.0,188.0,,,,,,
2,3,32677.0,1272.0,1681.0,1367.0,203.0,52619.0,4634.0,550.0,4577.0,592.0,564.0,221.0,763.0,3586.0,26022.0,2268.0,2102.0,34595.0,33177.0,7383.0,2520.0,1217.0,2646.0,167.0,117.0,261.0,49.0,14.0,,442.0,11468.0,29764.0,28661.0,48572.0,10706.0,8395.0,3315.0,40628.0,48954.0,3451.0,9957.0,30539.0,27400.0,32492.0,16838.0,9916.0,18554.0,7617.0,324.0,2174.0,200.0,676.0,15763.0,3307.0,9288.0,9065.0,12390.0,40406.0,24598.0,9047.0,20260.0,8684.0,7164.0,11787.0,2455.0,20029.0,5361.0,37002.0,32173.0,2366.0,69.0,1512.0,2061.0,2004.0,9035.0,52.0,102.0,155.0,41.0,469.0,2.0,42.0,383.0,21974.0,27795.0,2154.0,32681.0,2380.0,9658.0,358.0,289.0,159.0,4319.0,2423.0,5538.0,261.0,2472.0,5060.0,2735.0,1235.0,18.0,604.0,5147.0,322.0,366.0,98.0,5.0,3.0,1280.0,2081.0,237.0,,221.0,549.0,495.0,20.0,9884.0,5754.0,3774.0,2884.0,3185.0,4079.0,12626.0,1.0,,184.0,637.0,2402.0,2798.0,1923.0,1183.0,20.0,97.0,9.0,5.0,3.0,57.0,38.0,17448.0,1221.0,14427.0,,,,,,
3,4,22813.0,1026.0,2345.0,718.0,13.0,53368.0,4096.0,4141.0,5399.0,841.0,8081.0,301.0,858.0,3973.0,24302.0,1831.0,6134.0,43740.0,31736.0,6786.0,6483.0,4820.0,1938.0,555.0,633.0,7691.0,3447.0,87.0,86.0,852.0,9402.0,4291.0,23157.0,24440.0,9318.0,1267.0,124.0,23464.0,26599.0,2399.0,9521.0,9616.0,11552.0,38068.0,30577.0,12085.0,11919.0,5077.0,505.0,597.0,589.0,349.0,14706.0,2452.0,8363.0,8280.0,5100.0,28815.0,18322.0,2599.0,19617.0,19252.0,16037.0,3515.0,2063.0,23824.0,11968.0,30977.0,22586.0,1075.0,1020.0,258.0,1384.0,1341.0,6785.0,146.0,9.0,69.0,28.0,107.0,6.0,487.0,1924.0,5574.0,16477.0,1758.0,29148.0,1255.0,8379.0,1916.0,3304.0,1195.0,979.0,1367.0,8935.0,190.0,281.0,505.0,1207.0,1665.0,718.0,753.0,2846.0,17.0,15.0,207.0,1.0,,2847.0,3139.0,107.0,116.0,10.0,380.0,156.0,,9768.0,8477.0,2215.0,1592.0,1843.0,5529.0,20445.0,4.0,9.0,750.0,492.0,3543.0,3281.0,3042.0,2291.0,31.0,1930.0,29.0,22.0,30.0,17.0,17.0,14278.0,653.0,10039.0,,,,,,
4,5,2770.0,98.0,165.0,8137.0,34.0,3992.0,195.0,,25.0,,,,,35.0,1991.0,180.0,368.0,755.0,2119.0,194.0,4.0,,,,,,,,,,382.0,5902.0,2166.0,7485.0,415.0,88.0,,905.0,30210.0,1976.0,16218.0,16934.0,10372.0,223.0,61.0,30.0,9.0,21.0,,11.0,,,821.0,102.0,932.0,935.0,992.0,484.0,5410.0,1316.0,890.0,139.0,72.0,962.0,85.0,42.0,115.0,1382.0,573.0,26.0,,1.0,405.0,428.0,615.0,,,,,,,,,350.0,5781.0,863.0,534.0,28.0,249.0,,52.0,2.0,53.0,,208.0,7.0,80.0,2863.0,8.0,,5.0,50.0,,246.0,312.0,,,,,,,,,,,,8.0,59.0,12.0,9.0,,148.0,38.0,2.0,,,,,1.0,,,,,,,,,,4416.0,360.0,631.0,,,,,,
5,6,284.0,,3.0,30.0,,492.0,,,3.0,3.0,,,,26.0,236.0,29.0,25.0,139.0,246.0,40.0,,,,,,,,,,,86.0,107.0,143.0,136.0,43.0,3475.0,2286.0,518.0,119.0,,,25.0,15.0,221.0,154.0,74.0,12.0,10.0,612.0,828.0,605.0,472.0,39.0,,57.0,22.0,57.0,93.0,45.0,,67.0,52.0,37.0,50.0,,46.0,68.0,63.0,105.0,,,,23.0,26.0,15.0,,,,12.0,,,,,99.0,29.0,2.0,109.0,,30.0,,31.0,,5.0,3.0,80.0,3.0,1.0,13.0,6.0,1.0,,1.0,259.0,9.0,,,,,,,,,,,,,,,,,,49.0,24.0,,,,,,,,,,,,,,,,7.0,,323.0,,,,,,
6,7,3445.0,3.0,325.0,8.0,5.0,12022.0,41.0,403.0,728.0,7.0,206.0,6.0,17.0,5026.0,5010.0,1314.0,4973.0,21366.0,11860.0,3231.0,4484.0,6617.0,940.0,757.0,541.0,2943.0,879.0,44.0,,2045.0,9077.0,3043.0,6424.0,8955.0,9142.0,4.0,,18095.0,22475.0,35.0,5595.0,7168.0,10328.0,18448.0,13405.0,7350.0,12045.0,675.0,,,,,13170.0,40.0,3308.0,3484.0,7305.0,17305.0,12592.0,551.0,12653.0,9803.0,12278.0,6856.0,36.0,11870.0,1011.0,18131.0,19772.0,17.0,,514.0,150.0,156.0,5761.0,2227.0,2496.0,1410.0,,317.0,630.0,943.0,324.0,8797.0,13985.0,1340.0,19728.0,17.0,5449.0,314.0,3642.0,3.0,234.0,228.0,5201.0,549.0,3089.0,3127.0,3307.0,379.0,1296.0,1961.0,861.0,,,,7.0,7.0,,,,30.0,1452.0,6647.0,2387.0,3.0,6272.0,8438.0,2933.0,2144.0,1086.0,5663.0,12344.0,,,,4.0,1.0,3.0,,,,264.0,,,,,87.0,10639.0,270.0,8124.0,,,,,,
7,8,1329.0,,,,,1634.0,,,187.0,,,,,3.0,171.0,,2.0,151.0,333.0,,,,,,,,,,,,,76.0,,73.0,,,,71.0,78.0,,6.0,5.0,12.0,476.0,29.0,35.0,9.0,109.0,,,,,332.0,,,,31.0,156.0,,,109.0,147.0,23.0,26.0,,126.0,,2381.0,21.0,,,,,,11.0,,,,,,,,,5.0,,,18.0,,9.0,,,,4.0,,1614.0,,,,,,1629.0,,,,,,,,,,,,,,,,,275.0,11529.0,10938.0,3061.0,4.0,55.0,,,,,,,,,,,,,,148.0,,,,459.0,,,,,,
8,9,31.0,,,,,388.0,,3.0,271.0,1.0,1.0,1.0,1.0,,6.0,,2.0,369.0,237.0,,4.0,485.0,240.0,,,,,,,,,,,,1.0,5.0,,17.0,14.0,,,16.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,4544.0,,280.0,282.0,263.0,4760.0,,276.0,549.0,412.0,271.0,273.0,269.0,32.0,651.0,,1.0,1726.0,2663.0,47.0,12.0,53.0,2.0,,12.0,,,,,,1.0,37.0,,39.0,1.0,176.0,,43.0,106.0,,,4.0,1.0,77.0,,,6.0,,,6.0,,,6.0,,,,107.0,99.0,41.0,1.0,33.0,6.0,12.0,118.0,,,,28.0,84.0,,,12.0,,,1.0,,9.0,,,1.0,,,,88.0,77.0,,87.0,,1.0,,5.0,,,,2.0,2.0,11.0,21.0,12.0,15.0,,,1.0,,,,2.0,1.0,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,
