분류,상품명,설명,비율,제목
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,101.2,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당 let:click 실손의료보험Ⅳ(2107),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,100.1,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,(무)다이렉트 실손의료비보험2107(CM),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,103.1,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당 KB손보 다이렉트실손의료비보장보험(21.07),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,106.8,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,"New안심케어NH실손의료비보험(갱신형,무배당)",이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,103.2,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,메리츠 다이렉트 실손의료비보험2107,이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,96.9,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당 한화실손의료보험(갱신형)Ⅲ,이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,103.1,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,86.4,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당교보실손의료비보험(갱신형)Ⅲ_2107,이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,94.3,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,(무)헤아림다이렉트실손의료비보험2107,이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,95.5,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,"삼성 인터넷 급여 실손의료비보장보험(갱신형,무배당)",이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,109.4,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2107),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,96.8,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,무배당 삼성화재 다이렉트 실손의료비보험(2107.1),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,91.6,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,(무)다이렉트 실손의료비보험(21.07),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,102.2,보험가격지수 / 남성 / 표준형 계약 기준
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
실손의료보험 상품,(무)흥국화재 다이렉트 실손의료보험(21.07),이 상품은 중도해지시 환급금이 없습니다.,,해지환급금 / 납입기간 중 해지시
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
실손의료보험 상품,무배당 흥국생명 실손의료비보험(갱신형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
