상품명,해지환급금,환급이율,납입보험료,유지기간,분류
연금저축(무)KDB다이렉트 연금보험,115만원,96.6,120만원,1,연금저축보험(세제적격) 상품
연금저축(무)KDB다이렉트 연금보험,356만원,99.1,360만원,3,연금저축보험(세제적격) 상품
연금저축(무)KDB다이렉트 연금보험,610만원,101.6,600만원,5,연금저축보험(세제적격) 상품
연금저축(무)KDB다이렉트 연금보험,"1,307만원",108.9,"1,200만원",10,연금저축보험(세제적격) 상품
연금저축(무)KDB다이렉트 연금보험,"1,654만원",137.8,"1,200만원",20,연금저축보험(세제적격) 상품
무배당 IBK 인터넷세액공제연금저축보험_2101,114만원,95.1,120만원,1,연금저축보험(세제적격) 상품
무배당 IBK 인터넷세액공제연금저축보험_2101,350만원,97.4,360만원,3,연금저축보험(세제적격) 상품
무배당 IBK 인터넷세액공제연금저축보험_2101,604만원,100.8,600만원,5,연금저축보험(세제적격) 상품
무배당 IBK 인터넷세액공제연금저축보험_2101,"1,294만원",107.8,"1,200만원",10,연금저축보험(세제적격) 상품
무배당 IBK 인터넷세액공제연금저축보험_2101,"1,615만원",134.5,"1,200만원",20,연금저축보험(세제적격) 상품
(무)하나원큐연금저축보험,114만원,95.2,120만원,1,연금저축보험(세제적격) 상품
(무)하나원큐연금저축보험,351만원,97.6,360만원,3,연금저축보험(세제적격) 상품
(무)하나원큐연금저축보험,600만원,100.0,600만원,5,연금저축보험(세제적격) 상품
(무)하나원큐연금저축보험,"1,286만원",107.2,"1,200만원",10,연금저축보험(세제적격) 상품
(무)하나원큐연금저축보험,"1,610만원",134.1,"1,200만원",20,연금저축보험(세제적격) 상품
무배당 ABL인터넷연금저축보험,116만원,96.7,120만원,1,연금저축보험(세제적격) 상품
무배당 ABL인터넷연금저축보험,356만원,99.0,360만원,3,연금저축보험(세제적격) 상품
무배당 ABL인터넷연금저축보험,608만원,101.3,600만원,5,연금저축보험(세제적격) 상품
무배당 ABL인터넷연금저축보험,"1,296만원",108.0,"1,200만원",10,연금저축보험(세제적격) 상품
무배당 ABL인터넷연금저축보험,"1,609만원",134.0,"1,200만원",20,연금저축보험(세제적격) 상품
무배당 IBK 세액공제연금저축보험_2101,108만원,90.7,120만원,1,연금저축보험(세제적격) 상품
무배당 IBK 세액공제연금저축보험_2101,344만원,95.6,360만원,3,연금저축보험(세제적격) 상품
무배당 IBK 세액공제연금저축보험_2101,597만원,99.5,600만원,5,연금저축보험(세제적격) 상품
무배당 IBK 세액공제연금저축보험_2101,"1,279만원",106.6,"1,200만원",10,연금저축보험(세제적격) 상품
무배당 IBK 세액공제연금저축보험_2101,"1,582만원",131.9,"1,200만원",20,연금저축보험(세제적격) 상품
삼성 인터넷연금저축보험2.2(무배당),115만원,96.3,120만원,1,연금저축보험(세제적격) 상품
삼성 인터넷연금저축보험2.2(무배당),354만원,98.5,360만원,3,연금저축보험(세제적격) 상품
삼성 인터넷연금저축보험2.2(무배당),604만원,100.7,600만원,5,연금저축보험(세제적격) 상품
삼성 인터넷연금저축보험2.2(무배당),"1,285만원",107.1,"1,200만원",10,연금저축보험(세제적격) 상품
삼성 인터넷연금저축보험2.2(무배당),"1,579만원",131.5,"1,200만원",20,연금저축보험(세제적격) 상품
무배당 흥국생명 온라인연금저축보험,114만원,95.3,120만원,1,연금저축보험(세제적격) 상품
무배당 흥국생명 온라인연금저축보험,351만원,97.5,360만원,3,연금저축보험(세제적격) 상품
무배당 흥국생명 온라인연금저축보험,598만원,99.8,600만원,5,연금저축보험(세제적격) 상품
무배당 흥국생명 온라인연금저축보험,"1,279만원",106.6,"1,200만원",10,연금저축보험(세제적격) 상품
무배당 흥국생명 온라인연금저축보험,"1,571만원",130.9,"1,200만원",20,연금저축보험(세제적격) 상품
(무)라이프플래닛e연금저축보험Ⅱ(유니버셜),115만원,96.2,120만원,1,연금저축보험(세제적격) 상품
(무)라이프플래닛e연금저축보험Ⅱ(유니버셜),353만원,98.2,360만원,3,연금저축보험(세제적격) 상품
(무)라이프플래닛e연금저축보험Ⅱ(유니버셜),608만원,101.3,600만원,5,연금저축보험(세제적격) 상품
(무)라이프플래닛e연금저축보험Ⅱ(유니버셜),"1,285만원",107.1,"1,200만원",10,연금저축보험(세제적격) 상품
(무)라이프플래닛e연금저축보험Ⅱ(유니버셜),"1,569만원",130.7,"1,200만원",20,연금저축보험(세제적격) 상품
한화생명 e연금저축보험 무배당,114만원,95.3,120만원,1,연금저축보험(세제적격) 상품
한화생명 e연금저축보험 무배당,351만원,97.5,360만원,3,연금저축보험(세제적격) 상품
한화생명 e연금저축보험 무배당,598만원,99.7,600만원,5,연금저축보험(세제적격) 상품
한화생명 e연금저축보험 무배당,"1,272만원",106.0,"1,200만원",10,연금저축보험(세제적격) 상품
한화생명 e연금저축보험 무배당,"1,564만원",130.3,"1,200만원",20,연금저축보험(세제적격) 상품
"NH세테크연금저축보험(Self가입형,무배당)",114만원,95.7,120만원,1,연금저축보험(세제적격) 상품
