,4(상해),3(질병(건강),99(기타),5(암),14(여행자),11(저축(양로포함)),10(연금),18(화재/재물),2(정기),13(운전자),1(종신),6(간병(요양)),8(치아),16(실손의료),15(골프),9(연금저축),7(어린이),12(교육),
m_10,29449,38600,296,610,20,1011,474,9,227,104,2367,0,1422,47,0,0,207152,225,282013
,10.4%,13.7%,0.1%,0.2%,0.0%,0.4%,0.2%,0.0%,0.1%,0.0%,0.8%,0.0%,0.5%,0.0%,0.0%,0.0%,73.5%,0.1%,
m_20_1,22220,30449,678,1597,19,444,153,26,907,5985,8444,4,875,26,0,10,36018,37,107892
,20.6%,28.2%,0.6%,1.5%,0.0%,0.4%,0.1%,0.0%,0.8%,5.5%,7.8%,0.0%,0.8%,0.0%,0.0%,0.0%,33.4%,0.0%,
m_20_2,34441,48253,924,3779,34,516,259,71,1773,17236,15555,66,1585,155,1,94,19779,6,144527
,23.8%,33.4%,0.6%,2.6%,0.0%,0.4%,0.2%,0.0%,1.2%,11.9%,10.8%,0.0%,1.1%,0.1%,0.0%,0.1%,13.7%,0.0%,
m_30_1,38613,50977,1152,4861,33,611,503,136,1997,22446,15371,80,2098,186,2,193,8036,6,147301
,26.2%,34.6%,0.8%,3.3%,0.0%,0.4%,0.3%,0.1%,1.4%,15.2%,10.4%,0.1%,1.4%,0.1%,0.0%,0.1%,5.5%,0.0%,
m_30_2,41748,48650,1281,5466,36,784,741,223,2025,21429,13839,157,1960,154,3,486,185,19,139186
,30.0%,35.0%,0.9%,3.9%,0.0%,0.6%,0.5%,0.2%,1.5%,15.4%,9.9%,0.1%,1.4%,0.1%,0.0%,0.3%,0.1%,0.0%,
m_40_1,52929,57108,1889,7604,41,1445,969,324,2055,25995,16916,249,2460,141,14,333,301,21,170794
,31.0%,33.4%,1.1%,4.5%,0.0%,0.8%,0.6%,0.2%,1.2%,15.2%,9.9%,0.1%,1.4%,0.1%,0.0%,0.2%,0.2%,0.0%,
m_40_2,50583,52486,1982,8300,26,1626,978,430,2295,29091,14965,430,2413,119,32,116,483,21,166376
,30.4%,31.5%,1.2%,5.0%,0.0%,1.0%,0.6%,0.3%,1.4%,17.5%,9.0%,0.3%,1.5%,0.1%,0.0%,0.1%,0.3%,0.0%,
m_50_1,52744,58808,2377,9601,24,1943,1081,483,2680,36169,14338,725,2623,121,72,82,245,4,184120
,28.6%,31.9%,1.3%,5.2%,0.0%,1.1%,0.6%,0.3%,1.5%,19.6%,7.8%,0.4%,1.4%,0.1%,0.0%,0.0%,0.1%,0.0%,
