,상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,직전분기_납입원금,직전분기_적립금,직전분기_수익률,전년도_납입원금,전년도_적립금,전년도_수익률,장기수익률(연평균)_3년,장기 수익률(연평균)_5년,장기 수익률(연평균)_7년,장기 수익률(연평균)_10년,장기 수수료율(연평균)_3년,장기 수수료율(연평균)_5년,장기 수수료율(연평균)_7년,장기 수수료율(연평균)_10년,위험,직업,학습,건강,관계,주거,사회참여,여가,재무
0,하나UBS인Best연금증권투자신탁 1[주식],하나유비에스자산운용,주식형,2001/02/01,판매,가능,"347,602","510,330",31.43,"419,214","555,874",28.49,-0.76,3.19,0.39,-1.11,1.59,1.60,1.60,1.70,높은위험,0,0,0,0,100,0,0,0
1,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2,미래에셋자산운용,재간접,2017/03/24,판매,가능,"392,515","494,070",25.55,"250,924","301,920",13.93,13.65,,,,0.85,,,,보통위험,0,0,0,0,100,0,0,0
2,한국밸류10년투자연금증권전환형투자신탁 1(주식)C,한국투자밸류자산운용,주식형,2007/03/19,판매,가능,"342,211","490,739",32.14,"417,699","518,689",23.61,-1.77,0.11,-0.82,0.90,1.57,1.61,1.64,1.82,높은위험,0,0,0,0,100,0,0,0
3,미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P2e,미래에셋자산운용,재간접,2017/08/14,판매,가능,"243,420","357,993",74.82,"78,496","105,292",50.20,21.37,,,,0.90,,,,보통위험,0,0,0,0,100,0,0,0
4,미래에셋글로벌그레이트컨슈머연금증권전환형자투자신탁 1(주식)종류C,미래에셋자산운용,재간접,2011/11/02,판매,가능,"309,186","320,508",16.94,"237,344","306,801",27.62,12.34,10.05,,7.28,1.86,1.82,-1.08,-0.38,보통위험,0,0,0,0,100,0,0,0
5,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁 1(채권)종류C,미래에셋자산운용,재간접,2011/07/13,판매,가능,"320,990","319,276",1.39,"298,776","308,731",3.21,3.78,4.44,4.69,-15.71,0.64,0.64,0.64,0.61,보통위험,0,0,0,0,100,0,0,0
6,신영밸류고배당증권자투자신탁(주식)C-P형,신영자산운용,주식형,2013/04/03,판매,가능,"227,637","315,990",33.22,"277,628","335,707",15.48,-2.20,2.54,4.28,,1.38,1.41,1.38,,높은위험,0,0,0,0,100,0,0,0
7,한국투자골드플랜연금증권전환형투자신탁 1(주식)(C),한국투자신탁운용,주식형,2001/01/31,판매,가능,"164,242","303,947",32.94,"195,013","325,039",35.10,3.09,6.54,4.68,-2.42,1.45,1.42,1.37,1.45,높은위험,0,0,0,0,100,0,0,0
8,미래에셋라이프사이클4050연금증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,재간접,2005/10/27,판매,가능,"289,606","292,162",12.90,"247,532","284,529",15.15,3.98,32.20,23.21,15.57,1.35,5.52,4.33,3.45,보통위험,0,0,0,0,100,0,0,0
9,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P,미래에셋자산운용,재간접,2017/03/21,판매,가능,"225,302","284,087",16.21,"200,638","241,480",9.89,11.28,,,,0.94,,,,보통위험,0,0,0,0,100,0,0,0
10,삼성신종MMF종류형D 2(C-P),삼성자산운용,단기금융,2013/05/21,판매,가능,"276,586","281,934",-0.35,"234,653","241,020",-0.58,0.80,0.83,1.16,,0.49,0.49,0.48,,매우낮은위험,0,0,0,0,100,0,0,0
11,KB연금가치주증권전환형자투자신탁(주식) C 클래스,케이비자산운용,주식형,2010/07/09,판매,가능,"167,786","226,371",36.19,"201,281","225,010",9.05,-1.92,-0.22,0.93,2.49,1.53,1.56,1.75,1.76,높은위험,0,0,0,0,100,0,0,0
12,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2e,미래에셋자산운용,재간접,2017/09/14,판매,가능,"180,202","216,370",39.81,"42,870","49,559",16.91,10.05,,,,0.58,,,,보통위험,0,0,0,0,100,0,0,0
