상품,금융회사,공시이율,최저보증이율,온라인 가입,전화번호,설계사_계약체결비용,설계사_계약관리비용,대리점_계약체결비용,대리점_계약관리비용,온라인_계약체결비용,온라인_계약관리비용,직업,학습,건강,관계,주거,사회참여,여가,재무
 무배당라이프플래닛e연금저축보험Ⅱ(유니버셜) , 교보라이프플래닛생명보험 , 2.10 , 5년 미만: 1.25%10년 미만 : 1.00%10년 이상 : 0.75%, 가능 , 02-1566-0999 ,,,,,5년 이내 : 기본보험료의 1.35%를 매월 징수 5년 초과 : 없음,"보험료 의무납입기간 이내 : 기본보험료의 3.50%를 매월 징수 보험료 의무납입기간 이후 : 보험료 납입시 기본보험료의 3.50%, 보험료 미납시 기본보험료의 1.00%를 매월 징수",0,0,0,0,100,0,0,0
 한화생명 연금저축스마트하이드림연금보험 , 한화생명보험 , 2.14 ," (3년 이내) 1.0%, (3년 초과 5년 이내), 0.75%, (5년 초과) 0.5%", 가능 , 02-789-7114 ,,,"(7년 이내) 보험료의 2.52%를 매월 징수,(7년 초과 10년 이내) 보험료의 0.59%를 매월 징수","(납입기간 이내) 보험료의 4.30%를 매월 징수,(납입기간 이후) 보험료의 1.40%를 매월 징수",,,0,0,0,0,100,0,0,0
 (무)흥국생명 연금저축보험 , 흥국생명보험 , 2.25 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 1.0%,(10년 초과) 0.5%", 가능 , 02-2002-7000 ,(5년 이내) 보험료의 1.3%를 매월 징수,"(납입기간 이내) 보험료의 3.2%를 매월 징수, (납입기간 이후) 보험료의 0.7%를 매월 징수",0,0,0,0,0,0,0,0,100,0,0,0
 (무)흥국생명 온라인연금저축보험 , 흥국생명보험 , 2.25 ," (5년 이내) 1.25%,(5년 초과 10년 이내) 1.0%,(10년 초과) 0.5%", 가능 , 02-2002-7000 ,0,0,0,0,(5년 이내) 보험료의 1.3%를 매월 징수,"(납입기간 이내) 보험료의 3.2%를 매월 징수, (납입기간 이후) 보험료의 0.7%를 매월 징수",0,0,0,0,100,0,0,0
 연금저축 나이스플랜연금보험 2101 , 에이비엘생명보험 , 2.00 ," (5년 이내) 1.25%,  (5년 초과 10년 이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-1588-6500 ,"(7년 이내) 보험료의 2.82%를 매월 징수,  (7년 초과 10년 이내) 보험료의 1.46%를 매월 징수","(납입기간 이내) 보험료의 4.67%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수","(7년 이내) 보험료의 2.82%를 매월 징수,  (7년 초과 10년 이내) 보험료의 1.46%를 매월 징수","(납입기간 이내) 보험료의 4.67%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수",,,0,0,0,0,100,0,0,0
 무배당 ABL인터넷연금저축보험 , 에이비엘생명보험 , 2.35 ," (5년 이내) 1.25%,  (5년 초과 10년 이내) 1.0%, (10년 초과) 0.5%", 가능 , 02-1588-6500 ,,,,,(7년 이내) 보험료의 1.50%를 매월 징수,"(납입기간 이내) 보험료의 3.00%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",0,0,0,0,100,0,0,0
 무배당 IBK 세액공제연금저축보험_2101 , 아이비케이연금보험  , 2.41 , (5년이내) 1.25% (5년초과 10년이내) 1.00% (10년초과) 0.50%, 가능 , 02-1577-4117 ,,,"(7년 이내) 보험료의 1.97%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.45%를 매월 징수","(납입기간 이내) 보험료의 4.40%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수",,,0,0,0,0,100,0,0,0
 무배당 IBK e-세액공제연금저축보험_2101 , 아이비케이연금보험  , 2.41 , (5년이내) 1.25% (5년초과 10년이내) 1.00% (10년초과) 0.50%, 가능 , 02-1577-4117 ,,,"(7년 이내) 보험료의 2.00%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.00%를 매월 징수","(납입기간 이내) 보험료의 3.43%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",,,0,0,0,0,100,0,0,0
 무배당 IBK 세액공제받는연금저축보험_2101 , 아이비케이연금보험  , 2.41 , (5년이내) 1.25% (5년초과 10년이내) 1.00% (10년초과) 0.50%, 가능 , 02-1577-4117 ,,,"(7년 이내) 보험료의 3.43%를 매월 징수,  (7년 초과 10년 이내) 보험료의 1.76%를 매월 징수","(납입기간 이내) 보험료의 4.34%를 매월 징수, (납입기간 이후) 보험료의 1.00%를 매월 징수",,,0,0,0,0,100,0,0,0
 무배당 연금저축 KT 단체연금보험_2101 , 아이비케이연금보험  , 2.41 , (5년이내) 1.25% (5년초과 10년이내) 1.00% (10년초과) 0.50%, 가능 , 02-1577-4117 ,"(7년 이내) 보험료의 0.00%를 매월 징수,  (7년 초과 10년 이내) 보험료의 0.00%를 매월 징수","(납입기간 이내) 보험료의 2.50%를 매월 징수, (납입기간 이후) 보험료의 0.67%를 매월 징수",,,,,0,0,0,0,100,0,0,0
