표준코드,단축코드,한글종목명,종목명,영문종목명,발행기관,채권유형,채권분류,상장일,발행일,상환일,표면금리,발행금액,상장금액,만기년수,종목구분,종가_가격,종가_대비타입,종가_대비,종가_수익률,시가_가격,시가_수익률,고가_가격,고가_수익률,저가_가격,저가_수익률,거래량,거래대금,직업,학습,건강,관계,주거,사회참여,여가,재무
KR63433919B4,B3433919B,2019기보제삼차유동화전문1-1,2019기보제삼차유1-1,2019 KIBO 3rd Securitization Specialty1-1,2019기보제삼차유동화전문,회사채,일반사채,2019/11/28,2019/11/28,2021/11/28,1.757,"43,264,176,000","43,264,176,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6336692993,B33669299,2019기보제이차유동화전문1-2,2019기보제이차유1-2,2019 KIBO 2nd Securitization Specialty1-2,2019기보제이차유동화전문,회사채,일반사채,2019/09/24,2019/09/24,2021/11/24,1.681,"42,578,410,000","42,578,410,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6372061AB0,B372061AB,2020기보제이차유동화전문1-1,2020기보제이차유1-1,2020 KIBO 2nd Securitization Specialty1-1,2020기보제이차유동화전문,회사채,일반사채,2020/11/24,2020/11/24,2022/11/24,1.155,"73,887,600,000","73,887,600,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6357241A63,B357241A6,2020기보제일차유동화전문1-1,2020기보제일차유1-1,2020 KIBO 1st Securitization Specialty1-1,2020기보제일차유동화전문,회사채,일반사채,2020/06/09,2020/06/09,2022/11/24,1.330,"32,468,430,000","32,468,430,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6408511BB0,B408511BB,2021기보제이차유동화전문1-1,2021기보제이차유동화1-1,2021 KIBO 2nd Securitization Specialty1-1,2021기보제이차유동화전문,회사채,일반사채,2021/11/09,2021/11/09,2023/11/09,2.288,"67,302,000,000","67,302,000,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6388541B56,B388541B5,2021기보제일차유동화전문1-1,2021기보제일차유동화1-1,2021 KIBO 1st Securitizatoin Specialty1-1,2021기보제일차유동화전문,회사채,일반사채,2021/05/28,2021/05/28,2023/11/24,1.315,"47,786,950,000","47,786,950,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6095572956,B09557295,AJ네트웍스35-2,AJ네트웍스35-2,AJ Networks35-2,AJ네트웍스,회사채,일반사채,2019/05/29,2019/05/29,2022/05/29,3.503,"26,000,000,000","26,000,000,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6095572972,B09557297,AJ네트웍스36-2,AJ네트웍스36-2,AJ Networks36-2,AJ네트웍스,회사채,일반사채,2019/07/24,2019/07/24,2022/07/22,3.480,"31,000,000,000","31,000,000,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
KR6095571A10,B095571A1,AJ네트웍스37-1,AJ네트웍스37-1,AJ Networks37-1,AJ네트웍스,회사채,일반사채,2020/01/21,2020/01/21,2022/01/21,3.345,"35,000,000,000","35,000,000,000",,,"10,046.0",3,0.0,1.888,"10,046.0",1.888,"10,046.0",1.888,"10,046.0",1.888,"10,000","10,046",0,0,0,0,0,0,0,100
KR6095572A19,B095572A1,AJ네트웍스37-2,AJ네트웍스37-2,AJ Networks37-2,AJ네트웍스,회사채,일반사채,2020/01/21,2020/01/21,2023/01/20,3.912,"22,000,000,000","22,000,000,000",,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
