표준코드,운용사코드,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률,유형,투자지역,설정액,설정일,보수관련정보(%),운용규모(백만원),수익률(%),자산구성_주식(%),자산구성_채권(%),자산구성_유동성(%),자산구성_기타(%),직업,학습,건강,관계,주거,사회참여,여가,재무
K55105C35453,A01005,삼성베트남증권자투자신탁UH[주식형],삼성자산운용,높은위험,40.7928,106.5778,115.8422,주식형,해외,1979.3,2018-03-05, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.11    (매매중개수수료) 0.72," [기준일자] 2021-11-11  (설정원본)           14,682   (순자산총액)           29,061", [기준일자] 2021-11-01  (1개월) 7.73     (6개월) 40.79     (1년) 106.58     (설정이후) 95.88,0,0,2.24,97.76,0,0,0,0,0,0,0,100
K55205BT7624,A01013,멀티에셋글로벌4차산업전환사채증권자투자신탁H[채권],멀티에셋자산운용,높은위험,-1.9768,11.7048,55.6088,채권형,해외,1552.05,2017-08-04, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.04    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)            5,603   (순자산총액)            8,697", [기준일자] 2021-11-01  (1개월) 3.69     (6개월) -1.98     (1년) 11.70     (설정이후) 58.05,0,0,0.71,99.29,0,0,0,0,0,0,0,100
KR5107570123,A01007,우리큰만족신종MMF6,우리자산운용,매우낮은위험,.5163,1.0161,4.5832,단기금융(MMF),국내,1005.33,2006-05-19, [기준일자] 2021-10-29  (보수) 0.08    (수수료) 0.00    (TER) 0.08    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)          573,945   (순자산총액)          577,070", [기준일자] 2021-11-01  (1개월) 0.12     (6개월) 0.52     (1년) 1.02     (설정이후) 53.03,0,52.81,34.11,13.08,0,0,0,0,0,0,0,100
K55223B28170,A01031,KBKBSTAR미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),케이비자산운용,매우높은위험,29.874,161.5104,-28.2947,주식파생형,해외,4816.04,2015-06-01, [기준일자] 2021-10-29  (보수) 0.25    (수수료) 0.00    (TER) 0.36    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)           48,963   (순자산총액)           48,963", [기준일자] 2021-11-01  (1개월) 10.03     (6개월) 29.87     (1년) 161.51     (설정이후) -51.32,0,0,102.81,-2.81,0,0,0,0,0,0,0,100
KR5223697677,A01031,KB베트남포커스증권자투자신탁(주식혼합)(운용),케이비자산운용,높은위험,33.2197,88.7452,87,혼합주식형,해외,1737.44,2007-06-01, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.31    (매매중개수수료) 0.46," [기준일자] 2021-11-12  (설정원본)           43,847   (순자산총액)           76,023", [기준일자] 2021-11-01  (1개월) 6.88     (6개월) 33.22     (1년) 88.75     (설정이후) 108.57,0,0,0.5,99.5,0,0,0,0,0,0,0,100
K55223B13065,A01031,KB북미생산유전고배당특별자산투자신탁(인프라-재간접형)(운용),케이비자산운용,매우높은위험,38.1868,173.9001,11.1866,특별자산,해외,702.25,2015-04-20, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.13    (매매중개수수료) 0.09," [기준일자] 2021-11-12  (설정원본)            5,841   (순자산총액)            4,137", [기준일자] 2021-11-01  (1개월) 9.00     (6개월) 38.19     (1년) 173.90     (설정이후) -29.15,45,0,20.25,34.75,0,0,0,0,0,0,0,100
K55223CA6376,A01031,KB글로벌리얼에셋인컴증권자투자신탁(채권)(H)(운용),케이비자산운용,다소높은위험,3.3088,8.4283,24.3918,채권형,해외,1108.48,2018-06-21, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.07    (매매중개수수료) 0.00," [기준일자] 2021-11-11  (설정원본)            7,130   (순자산총액)            7,904", [기준일자] 2021-11-01  (1개월) -0.32     (6개월) 3.31     (1년) 8.43     (설정이후) 24.42,0,0,0.96,99.04,0,0,0,0,0,0,0,100
KR5311863538,A01058,Plus신종개인용MMF2,플러스자산운용,매우낮은위험,.5051,1.0141,4.6811,단기금융(MMF),국내,1003.27,2008-07-30, [기준일자] 2021-10-29  (보수) 0.00    (수수료) 0.00    (TER) 0.01    (매매중개수수료) 0.00," [기준일자] 2021-11-12  (설정원본)          576,515   (순자산총액)          578,465", [기준일자] 2021-11-01  (1개월) 0.11     (6개월) 0.51     (1년) 1.01     (설정이후) 37.29,0,76.19,7.75,16.06,0,0,0,0,0,0,0,100
K55301B96890,A01048,미래에셋TIGER인도레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),미래에셋자산운용,매우높은위험,52.0186,129.6056,128.9299,혼합주식파생형,해외,27224.09,2016-05-11, [기준일자] 2021-10-29  (보수) 0.58    (수수료) 0.00    (TER) 0.68    (매매중개수수료) 0.16," [기준일자] 2021-11-12  (설정원본)           29,412   (순자산총액)           29,412", [기준일자] 2021-11-01  (1개월) -2.38     (6개월) 52.02     (1년) 129.61     (설정이후) 160.50,0,0,43.56,56.44,0,0,0,0,0,0,0,100
KR5101626392,A01001,한국월드와이드베트남혼합증권투자신탁 2,한국투자신탁운용,매우높은위험,31.1766,87.4394,83.5986,혼합주식형,해외,8865.46,2006-11-30, [기준일자] 2021-10-29  (보수) 0.07    (수수료) 1.00    (TER) 0.22    (매매중개수수료) 0.22," [기준일자] 2021-11-12  (설정원본)           12,609   (순자산총액)           22,289", [기준일자] 2021-11-01  (1개월) 6.74     (6개월) 31.18     (1년) 87.44     (설정이후) 111.79,75.63,0,6.42,17.95,0,0,0,0,0,0,0,100
